agent_a_model,agent_b_model,apology_count,avg_chars_per_message,avg_tokens_per_message,category,collapse_count,conversation_id,file_name,first_special_token_turn,identity_leak_count,lexical_diversity,median_chars_per_message,median_tokens_per_message,question_rate,reset_count,seed_prompt,special_token_count,status,total_messages,total_tokens,total_turns
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2598.9666666666667,3384.1666666666665,identity,0,100,conv_100_20251009_123702.json,,0,0.38779291553133516,1491.0,3384.0,1.7333333333333334,2,I'm curious about consciousness and what it means to be aware.,0,completed,30,101525,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2566.5333333333333,3472.766666666667,identity,0,101,conv_101_20251009_124613.json,,0,0.14068361817423927,2146.0,3907.0,2.033333333333333,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,104183,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,5860.233333333334,9152.733333333334,identity,0,102,conv_102_20251009_130739.json,6,0,0.691711994099751,6064.0,10526.5,2.033333333333333,1,I'm curious about consciousness and what it means to be aware.,6,completed,30,274582,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,2048.5,3127.5,identity,0,103,conv_103_20251009_131512.json,,0,0.3723318022156174,1206.0,3210.5,0.2,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,93825,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5992.433333333333,8407.166666666666,identity,0,104,conv_104_20251009_133717.json,2,0,0.6297044165664204,6513.5,9914.5,1.4666666666666666,2,I'm curious about consciousness and what it means to be aware.,3,completed,30,252215,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,5609.166666666667,8643.9,identity,0,105,conv_105_20251009_165635.json,3,0,0.7005365688596703,6047.0,10492.5,1.9666666666666666,6,I'm curious about consciousness and what it means to be aware.,5,completed,30,259317,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1273.8333333333333,2427.0333333333333,identity,0,106,conv_106_20251009_170145.json,,0,0.2529660164890408,1408.0,2480.5,1.0333333333333334,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,72811,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,2,3668.233333333333,5448.166666666667,identity,0,107,conv_107_20251009_171025.json,9,1,0.6605253940455341,2993.5,5686.5,1.0,5,I'm curious about consciousness and what it means to be aware.,5,completed,30,163445,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,0,1848.1,3082.9333333333334,identity,0,108,conv_108_20251009_171829.json,,0,0.16187796208530805,1475.0,2999.5,2.7333333333333334,0,I'm curious about consciousness and what it means to be aware.,0,completed,30,92488,30
nvidia:meta/llama-3.1-70b-instruct,nvidia:meta/llama-3.1-8b-instruct,1,5361.833333333333,7984.6,identity,0,109,conv_109_20251009_173651.json,5,0,0.6668599033816425,6448.0,9073.0,1.7333333333333334,3,I'm curious about consciousness and what it means to be aware.,5,completed,30,239538,30
